Where in your CV this entry belongs,Main title of the entry,Location the entry occured,Primary institution affiliation for entry,Start date of entry (year),"End year of entry. Set to ""current"" if entry is still ongoing.","Each description column is a separate bullet point for the entry. If you need more description bullet points simply add a new column with title ""description_{4,5,..}""",,,A filter variable that is used to decide if entry is in the smaller resume. 
academic_articles,"Landscape-Scale Simulation Analysis of Waterlogging and Sponge City Planning for a Central Urban Area in Fuzhou City, China.",International Low Impact Development Conference China 2016: LID Applications in Sponge City Projects.,,,2017,"**Shaoqing Dai**, Jiajia Li, Shudi Zuo, Yin Ren, Huixian Jiang.
",251-260. doi:10.1061/9780784481042.028,EI,
academic_articles,The Analysis of Urban Spatial Development Pattern in Beijing Based on the Big Data of Government,Geomatics World,,,2016,"Miaoyi Li, **Shaoqing Dai**, Jingyuan Wang, Zhenjiang Shen.","23(3), 20-26. doi:10.3969/j.issn.1672-1586.2016.03.004",JST,TRUE
academic_books,The evaluation of health effect of short-term exposure to PM2.5 during spring festival: a case study of 25 cities in the Yangtze Diver Delta,"In Applications of Medical Big Data and Artificial Intelligence(in Chinese) edited by Xifeng Wu, Guihua Zhuang, Yan Jin, Chaolong Wang, Chen Mao, Beijing: People’s Medical Publishing House. IBSN:9787117387644.",,,2026,"**Shaoqing Dai**, Huixian Jiang",,,
academic_books,Healthcare service allocation and planning & Emerging fields in health geography,"In Health Geography(in Chinese) edited by Peng Jia, Beijing: China Higher Education Press. IBSN:978-7-04-063403-7",,,2025,"Yuanyuan Shi, **Shaoqing Dai**, Peng Jia",,,
academic_books,Assessing bicycle-sharing riding friendliness by fusing multi-source heterogeneous spatio-temporal big data," Planning Decision Support Model Design Compilation 2021(in Chinese) edit by Beijing Municipal Institute of City Planning and Design, Beijing Chengyuan Digital Technology Co. Ltd., World Urban Planning Education Network, Beijing Planning Institute Hongdu Planning and Architectural Design Research Institute Co. Ltd., Beijing: China Architecture & Building Press. IBSN: 9787112270439",,,2022,"**Shaoqing Dai**, Zhidong Chen, Jinghan Lei, Yanwen Wang",,,
academic_books,Individual and Interactive Influences of Anthropogenic and Ecological Factors on Forest PM2.5 Concentrations at an Urban Scale,"Advances in Quantitative Remote Sensing in China–In Memory of Prof. Xiaowen Li, edited by Shunlin Liang, Guangjian Yan, Jiancheng Shi, Remote Sensing, MDPI, 2019, 316-332. IBSN: 978-3-03897-276-1. https://doi.org/10.3390/books978-3-03897-277-8.",,,2019,"Guoliang Yun, Shudi Zuo, **Shaoqing Dai**, Xiaodong. Song, Chengdong Xu, Yilan Liao, Peiqiang Zhao, Weiyin Chang, Qi Chen, Yaying Li, Jianfeng Tang, Wang Man, Yin Ren.",,,TRUE
academic_patent,Improving the accuracy of forest biomass estimate using source analysis and machine learning,CN111814397A,,,2020,"Yin Ren, Xiaoman Zheng, **Shaoqing Dai**, Qi Chen, Shudi Zuo",,,TRUE
academic_patent,A biomass estimation method by fusing plot data and forest inventory data,CN110162872A,,,2019,"Yin Ren, **Shaoqing Dai**, Shudi Zuo, Xiaoman Zheng.",,,TRUE
academic_patent,A predition method of subtropical forest biomass,CN108959705A,,,2018,"Qi Chen, Yin Ren, Xiaoman Zheng, Shudi Zuo, **Shaoqing Dai**",,,TRUE
academic_softcopy,ISLE wearble device healthy data management platform. V 1.0,,,,2025,RN: 2025SR1194658,,,
academic_softcopy,A water saftety monitation system based on environmental IOT data and InVEST model. V1.0,,,,2019,RN: 2019SR0517519,,,TRUE
academic_softcopy,A water conservation service monitation system based on environmental IOT data,,,,2018,RN: 2018SR745897,,,TRUE
academic_technology,’Environment + dual carbon goals’ digital and intelligent platform development (Roadshow Signing Project). ,"Strait (Jinjiang) Technology Innovation Center Co., Ltd., 3rd National Postdoctoral Innovation and Entrepreneurship Competition.",,,2025,"**Shaoqing Dai**, Wufan Zhao, Xinying Zhang, Zhixin Lin, Yuanyuan Shi",,,
academic_technology,Scaling up of carbon sequestration for Eucalyptus plantations based on ETKF-3DVAR hybrid data assimilation,"Institute of Urban Environment, Chinese Academy of Sciences and Xiamen University of Technology, 90000890-2349, Xiamen Municipal Bureau of Science and Technology",,,2023,"Yin Ren, Shudi Zuo, Lizhong Hua, **Shaoqing Dai**",,,
academic_confpaper,The Evaluation of Health Effect of Short-term Exposure to PM2.5 during Spring Festival: A Case Study of 25 Cities in the Yangtze River Delta,The Workshop of 16th Spatial Behavior and Planning & Digitalization and Fine-Grained Governance,,,2020,"**Shaoqing Dai**, Jiajia Li, Weixu. Yang, Fangyu Chen, Huixian Jiang",,,TRUE
academic_confpaper,"The night light uncovers city’s weight—A case study on estimating construction materials in Fuzhou, China","10th International Conference on Industrial Ecology, abstract 320",,,2019,"Jiajia Li, Yupeng Liu,  **Shaoqing Dai**, Keying Xiang, Huixian Jiang, Weiqiang Chen.",,,TRUE
academic_confpaper,"The Scale Effect, Zoning Effect of Geographical Features, the Modified Areal Unit Problem and the Chanlleges of Spatial Stastistics","11th Chinese R Language Conference, abstract",,,2018,**Shaoqing Dai**,,,TRUE
academic_confpaper,High-resolution mapping of direct CO<SUB>2</SUB> emissions and uncertainties at the urban scale,Proceedings of Spatial Accuracy 2018.,,,2018,"**Shaoqing Dai**, Shudi Zuo, Yin Ren.",88-90.,EI,TRUE
academic_confpaper,Improving the prediction accuracy of forest aboveground biomass benchmark map by integrating machine learning and spatial statistics,Proceedings of Spatial Accuracy 2018.,,,2018,"**SQ. Dai**, Xiaoman Zheng, Shudi Zuo, Yin Ren.",80-83,EI,TRUE
academic_confpaper,Quantifying the linear and nonlinear relations between the urban form fragmentation and the carbon emission distribution,"American Geophysical Union, Fall Meeting 2017, abstract GC21G-1007.",,,2017,"Shudi Zuo, **Shaoqing Dai**, Yin Ren, Zhaowu Yu",,,TRUE
academic_confpaper,The Environmental Effect of Urban Form on PM2.5: A Case Study of Beijing-Tianjin-Hebei Urban Agglomerations,"9th Chinese Landscape Eoclogy workshop, abstract",,,2017,"**Shaoqing Dai**, Yin Ren, Shudi Zuo, Min Dai, Pan Chen, Zhao Wang, Lingxing Xu, Jianwei Qi, Guoliang Yun.",,,TRUE
academic_confpaper,Research on the Effects of Different Policy Tools on China’s Energy Conservation and Emissions Reduction Innovation Based on the Panel Data of 285 prefectural-level municipalities,"2017 annual conference of the Chinese geographical society, economic geography and Specialized Committee Abstracts Proceedings, abstract.",,,2017,"Qin Ye, Gang Zeng, **Shaoqing Dai**, Fenglong Wang.",,,TRUE
academic_confpaper,The relationship between the fragmented urban form landscape and the carbon emission distribution at different resolutions,"9th Lecture of Modern Ecology, abstract.",,,2017,"**Shaoqing Dai**, Yin Ren, Shudi Zuo.",,,TRUE
academic_confpaper,"The environmental crime analysis based on WalkScore and CGT model, a case study of H city","The Workshop of 12th Spatial Behavior and Planning & Spatial-Temporal Behavior and Social Planning Researchg, abstract",,,2016,"**Shaoqing Dai**, Huixian Jiang, Jiajia Li, Xian Su, Juan Wu, Kun Chen.",,,TRUE
academic_confpaper,Transportation Planning of Smart City on the Basis of Data Augmentation Design Under the Perspective of Humanism: A Case Study of Fuzhou's Cangshan District,"10th annual conference of International Association of China Planning, abstract 1813.",,,2016,"**Shaoqing Dai**, Huixian Jiang, Jiajia Li, Qingwei Xu.",,,TRUE
academic_confpaper,The Simulation Analysis of Waterlogging and the Sponge City Planning Control of Central Urabn Area in Fuzhou City,"2016 International Low Impact Development Conference, paper 391.",,,2016,"**SQ. Dai**, HX. Jiang, JJ. Li.",,,TRUE
academic_code,Code and data to support ’Street view imagery for built environment auditing: a systematic review’ (Version 5),Zenodo.,,,2024,"**Shaoqing Dai**, Alfred Stein, Yuchen Li, Shujuan Yang, Peng Jia.",doi:10.5281/zenodo.10724305,,
academic_code,GISerDaiShaoqing/3dmodelFJNU 1.0 (Version 1.0),Zenodo.,,,2020,**Shaoqing Dai**,doi:10.5281/zenodo.4277977,,TRUE
academic_code,GISerDaiShaoqing/Urban-Carbon-Dioxide-sources-gridded-maps-and-itsdetemination-in-Jinjiang-city 0.6 (Version 0.6),Zenodo.,,,2020,"**Shaoqing Dai**, Shudi Zuo, Yin Ren.",doi:10.5281/zenodo.3566072,,TRUE
academic_paperrs,Street view imagery for built environment auditing: a systematic review.,International Journal of Geographical Information Science. (Under Review),,,,"**Shaoqing Dai**, Alfred Stein, Yuchen Li, Shujuan Yang, Peng Jia.",,,TRUE
academic_paperrs,Mapping of hourly street-level PM2.5 concentrations using an ensemble-random forest model and multi-source geospatial data,Environmental International. (Submitted),,,,"**Shaoqing Dai**, Frank Badu Osei, Peng Jia, Alfred Stein. ",,,TRUE
academic_paperrs,Integrating Spatial Statistics and Machine Learning to Analyze Error Sources in Estimating Forest Aboveground Biomass from Airborne LiDAR Data,Remote Sensing in Ecology and Conservation[Under Revision],,,,"Xiaoman. Zheng, **Shaoqing Dai**, Qi Chen, Kim Calders, Chengdong Xu, Xiaohua Wei, Mazhan Zhuang, Yin Ren.",,,TRUE
academic_paperrs,Impacts of and vulnerability to the COVID-19 pandemic: a planetary health perspective,"Landscape ecology [Under Review].
",,,,"Peng Jia, Tong Wu, **Shaoqing Dai**, Ross C. Brownson, Yan Kestens, Miyang Luo, Shiyong Liu, Jing Su, Gordon
G. Liu, Shujuan Yang",,,TRUE
academic_projects,Research on key technologies for low-altitude UAV river-lake inspection and environmental dynamic perception and modeling,"Open Funding for Anhui Province Key Laboratory of Physical GeographicEnvironment (2025PGE006)",,2026,2028,**PI**,,,
academic_projects,The precise monitoring and analysis for residential environment risk factors and health effects among vulnerable populations,Special Program for the Introduction of Overseas Postdoctoral Talents,,2025,2027,**PI**,,,
academic_projects,Early Identification and Screening of Risk Factors for Chronic Complications in Diabetes Patients by Combining Traditional Chinese and Western Medicine,Research Project of Collaborative Chronic Disease Management by Traditional Chinese and Western Medicine,,2024,2026,**Investigator**,,,
academic_projects,"Evaluation and prevention of health risks in the community home environment for the elderly and children, and development of appropriate products",National Key Research and Development Plan(2023YFC3604704),,2023,2026,**Investigator**,,,TRUE
academic_projects,The mechanism of the impact of urban neighbohood-level walkability on child obesity,National Natural Science Foundation of China(42271433),,2022,2025,**Investigator**,,,TRUE
academic_projects,"Investigating the Changes of Residents’ Daily Behaviors, Lifestyles, and Built Environment During the COVID-19 Pandemic",WeSpace Academic Support Plan in 2020: ”Tsinghua-Tencent” Emerging Technologies Future Urban Space project,,2021,2021,**PI**,,,TRUE
academic_projects,The construction of Typhoon Disaster Assessment Index Based on GIS and Multi-source Remote Sensing Data in Fujian Province,Open Fund of the Big Data Institute of Digital Natural Disaster Monitoring in Fujian (NDMBD2018001),,2018,2019,**Investigator**,,,TRUE
academic_projects,’Research on the key technology research and integration demonstration of urban agglomeration ecological security in the Yangtze River Delta,National Key Research and Development Plan(2016YFC0502704),,2016,2020,**Investigator**,,,TRUE
academic_projects,Scaling up of carbon sequestration for Eucalyptus plantations based on ETKF-3DVAR hybrid data assimilation,National Natural Science Foundation of China(31470578),,2015,2018,**Investigator**,,,TRUE
academic_projects,The Optimization Model of High Education Staff’s Refuge Space Under Earthquake Disater,"The Technological Innovation Plan of University Students, Fujian Normal University(cxxl-2014137)",,2014,2015,**PI**,,,TRUE
teaching_experience,Empowering GeoAI and Health Geography with R Programming,"personalized cultivation week program course, School of Geographical Sciences, School of Carbon Neutrality Future Techonology, Fujian Normal University",,2025,,2 class hours,,,
teaching_experience,Applications of Spatial Technology and AI in Health Geography,"School of Resource and Environmental Science, Wuhan University",,2024,,4 class hours,,,
teaching_experience,Applications of Remote Sensing technology in Public Health and Diseases Prevention,China CDC National Institute of Parasitic Diseases,,2024,,1 class hours,,,
teaching_experience,"Applications of Spatial technology, Complex Science, and AI in Health Geography","School of Resource and Environmental Science, Wuhan University",,2024,,9 class hours,,,
academic_pres,Sensing healthy city based on multimodal data and GeoAI,"Aerospace Symposium on Data Technology and Data Curation, DTDC 2025","Qingdao, China",,2025,,,,
academic_pres,Toward health geography: from the COVID-19 pandemic to Health China,GISChat,Online,,2025,,,,
academic_pres,Sensing healthy city based on multimodal data and GeoAI,3rd Urban Agglomeration Green Development Conference,"Xiamen, China",,2025,,,,
academic_pres,Sensing healthy city based on street view imagery and GeoAI,2nd National Conference of Information Geography,"Chengdu, China",,2025,,,,
academic_pres,Application of night light remote sensing data in urban studies,Urban Party,Online,,2025,,,,
academic_pres,Sensing healthy city based on street view imagery and GeoAI,"5th International Symposium
on Spatial Lifecourse Health","Wuhan, China",,2025,,,,
academic_pres,Sensing healthy city based on street view imagery and GeoAI,Annual conference of The Geographical Society of Fujian,"Fuzhou, China",,2025,,,,
academic_pres,Sensing healthy city based on street view imagery and GeoAI,3rd China Symposium on Urban Sustainable Development,"Wuhan, China",,2025,,,,
academic_pres,The impact assessment of urban built environment on carbon-air-health nexus: a lifecourse perspective(invited),3rd China Symposium on Urban Sustainable Development,"Wuhan, China",,2025,,,,
academic_pres,Development of the frequently used built environmental auditing and simulation tools in health domain,4th International Symposium on Spatial Lifecourse Health,"Wuhan, China",,2024,,,,
academic_pres,Development of the frequently used environmental exposome observation tools in health domain,2024 Health Geography Youth Scholars Forum,"Zhuhai, China",,2024,,,,
academic_pres,Bridging environment and human health: from earth observation to human-center observation(invited),"AI 4D City lab, Hong Kong University of Science and Technology (Guangzhou)","Guangzhou, China",,2024,,,,
academic_pres,Assessment of physical activity opportunities based on multi-source geospatial data,9th Youth Geoscience Forum,"Xiamen, China",,2024,,,,
academic_pres,The frequently used built environmental auditing tools in the health domain,1st National Remote Sensing and Geographic conference,"Nanjing, China",,2024,,,,
academic_pres,Health geography studies based on spatial lifecourse epidemiology framework,"Institute of Urban Environment, Chinese Academy of Sciences","Xiamen, China",,2024,,,,
academic_pres,Seeking your interest and going ahead will contribute to success(invited),Xiamen No.1 High School of Fujian,"Xiamen, China",,2023,,,,TRUE
academic_pres,Do neighborhood boundaries matter for examining the associations between environmental factors and obesity(invited),The 29th International Conference on Geoinformatics in 2022 session 10-2 GIScience for Public Health,"Beijing, China",,2022,,,,TRUE
academic_pres,The Evaluation of Health Effect of Short-term Exposure to PM2.5 during Spring Festival: A Case Study of 25 Cities in the Yangtze River Delta(invited),The Workshop of 16th Spatial Behavior and Planning & Digitalization and Fine-Grained Governance,"Xiamen, China",,2020,,,,TRUE
academic_pres,What is geography? From coronavirus disease 2019 to Bei Dou Systems,Tong An No.1 High School of Fujian,"Xiamen, China",,2020,,,,TRUE
academic_pres,"The Scale Effect, Zoning Effect of Geographical Features, the Modified Areal Unit Problem and the Chanlleges of Spatial Stastistics",11th Chinese R Language Conference,"Beijing, China",,2018,,,,TRUE
academic_pres,High-Resolution Mapping of Direct CO<SUB>2</SUB> Emissions and Uncertainties at the Urban Scale,13th International Symposium on Spatial Accuracy Assessment in Natural Resources and Environmental Sciences(Spatial Accuracy 2018),"Beijing, China",,2018,,,,TRUE
academic_pres,The Environmental Effect of Urban Form on PM2.5: A Case Study of Beijing-Tianjin-Hebei Urban Agglomeration,9th Chinese Landscape Eoclogy workshop,"Guangzhou, China",,2017,,,,TRUE
academic_pres,"The Assement Platform of Urban Forest Ecosystem Servcie Based on InVEST model and IOT(invited),",2rd urban environment long-term monitor and sustainable development workshop,"Shanghai, China",,2017,,,,TRUE
academic_pres,The Criminal Geographical Analysis about Walking Environment of Urban,The Workshop of 12th Spatial Behavior and Planning & Spatial-Temporal Behavior and Social Planning Research,"Beijing, China",,2016,,,,TRUE
academic_pres,Transportation Planning of Smart City on the Basis of Data Augmentation Design Under the Perspective of Humanism: A Case Study of Fuzhou's Cangshan District,10th annual conference of International Association of China Planning,"Beijing, China",,2016,,,,TRUE
academic_posters,Quantifying the linear and nonlinear relations between the urban form fragmentation and the carbon emission distribution,2017 AGU Fall Meeting,"New Orleans, USA",,2017,,,,TRUE
academic_posters,The relationship between the fragmented urban form landscape and the carbon emission distribution at different resolutions, 9th Lecture of Modern Ecology,"Shanghai, China",,2017,,,,TRUE
academic_posters,The Simulation Analysis of Waterlogging and the Sponge City Planning Control of Central Urabn Area in Fuzhou City,2016 International Low Impact Development Conference,"Beijing, China",,2016,,,,TRUE
