Where in your CV this entry belongs,Main title of the entry,Location the entry occured,Primary institution affiliation for entry,Start date of entry (year),"End year of entry. Set to ""current"" if entry is still ongoing.","Each description column is a separate bullet point for the entry. If you need more description bullet points simply add a new column with title ""description_{4,5,..}""",,,A filter variable that is used to decide if entry is in the smaller resume. 
awards_honors,The National 3rd Prize in 2014 MathorCup Global Collegiate Mathematical Contest in Modeling,,,,2014,"Chinese Society of Optimization, Overall Planning and Economical Mathematics",,,TRUE
awards_honors,"""Excellent League Cadres"" in the academic year 2013-2014",,,,2014,Fujian Normal University,,,TRUE
awards_honors,"""Excellent League Cadres"" in the academic year 2013-2014",,,,2014,"School of Geographical Sciences, Fujian
Normal University ",,,TRUE
awards_honors,"""Excellent League Cadres"" in the academic year 2012-2013",,,,2013,"School of Geographical Sciences, Fujian
Normal University ",,,TRUE
academic_service,Editors,BMC Pbulic Health,,2025,,Editor Board Member,,,
academic_service,Editors,"Frontiers in Public Health, Frontiers in Psychology",,2025,,Associate Editor,,,
academic_service,Editors,"Land Special Issue, ”Urban Spatial Planning for Health and Well-Being”",,2025,,Guest Editor,,,
academic_service,Editors,"Frontiers in Remote Sensing Special Issue, ”Machine Learning for Advanced Remote Sensing: From Theory to Applications and Societal Impact”",,2025,,Guest Editor,,,
academic_service,Editors,The Geographical Tribune of Youth,,2013,2017,"Founder, Editor in Chief, Associate Editor, Assistant Editor in Chief",,,
academic_service,Affiliations,"AI 4D City lab, Hong Kong University of Science and Technology (Guangzhou)",,2024,,Visiting Scholar,,,
academic_service,Affiliations,International Institute of Spatial Lifecourse Health (ISLE),,2019,,Fellow,,,
academic_service,Affiliations,"GeoDa Center, rgeoda, libgeoda Github Organizations",,2019,,"Contributor",,,
academic_service,Soical Media Volunteer,The Organizations ”Sustainable Cities & Mobility”,,2015,,Volunteer,,,
academic_service,Soical Media Volunteer,GISphere,,2020,2023,"Editor Board, Council Member, Editor in chief of Wechat",,,
academic_service,Soical Media Volunteer,Green Bike-Transit,,2016,2017,Volunteer,,,
academic_service,Science & Technology Service,"The 138th Postdoctoral Science and Technology Service Corps, China Postdoctoral Science Foundation",,,2025,Fellow,,,
academic_service,Science & Technology Service,Aliyunqi Community,,2018,2020,Expert,,,
academic_service,Conference & Society Service,The Geographical Society of China,,2025,,Member,,,
academic_service,Conference & Society Service,International Society for Photogrammetry and Remote Sensing Student Consortium,,2024,,Member,,,
academic_service,Conference & Society Service,International Association of Landscape Ecology of China(IALE-China) ,,2017,2019,Member,,,
academic_service,Conference & Society Service,"2nd National Conference of Information Geography, ”Human behaviors,health geography and spatial modeling” session",,,2025,Convener,,,
academic_service,Conference & Society Service,"5th International Symposium on Spatial Lifecourse Health, ”Street view images, human mobility and environmental health” session",,,2025,Convener,,,
academic_service,Conference & Society Service,"2nd World Congress of Geography, ”Research on Global Health Wellbeing and Health Geography” session",,,2024,Convener,,,
academic_service,Conference & Society Service,"4th International Symposium on Spatial Lifecourse Health, ”Application of System Simulation Models in Health Domain” session",,,2024,Convener,,,
academic_service,Workshop Lecturer,UrbanParty,,2024,,Lecturer,,,
academic_service,Workshop Lecturer,5th International Symposium on Spatial Lifecourse Health Workshop,,,2025,Lecturer,,,
academic_service,Workshop Lecturer,4th International Symposium on Spatial Lifecourse Health Workshop,,,2024,Lecturer,,,
academic_service,Workshop Lecturer,"Heywhale Community and GISphere, ’Python x GIS’ GeoAI Workshop",,,2024,Lecturer,,,
academic_service,Workshop Lecturer,Training course on ’Spatial Epidemiology Analysis Mehtods and Applications’,,,2024,Lecturer,,,
academic_service,Peer-reviewer Journal & Conference Reviewer,"European Heart Journal, Resources, Conservation and Recycling, Applied Energy, Sustainable Cities and Society, International Journal of Geographical Information Science, Habitat International, Cities, Information Processing & Management, Ecological Indicators, Methods in Ecology and Evolution, International Journal of Digital Earth, GIScience & Remote Sensing, Information Geography, Forest Ecology & Management, Scientific Data, Carbon Management, City and environment interactions, Transactions in Urban Data, Science, and Technology, Frontiers in Public Health, Frontiers in Environmental Science, Frontiers in Earth Science, Scientific Reports, Data in Brief, Applied Economic Letters, Children, HealthCare, The Journal of Open Source Software, Urban & BuildingScience, Shanghai Urban Planning Review, IPSRS Conference, CPGIS Conference, Biology and Life Sciences Forum",,2019,,Reviewer,,,
